username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TV_TradingIdeas;2017-07-08 02:00;0;0;"Total S.A. $ TOT http://www. tradingview.com/chart/TOT/foIA aCMv-Total-S-A/ …";;;;"883566359753375744";https://twitter.com/TV_TradingIdeas/status/883566359753375744
TV_TradingIdeas;2017-07-08 01:51;0;0;"Total S.A. $ TOT http://www. tradingview.com/chart/TOT/jjk7 YKcP-Total-S-A/ …";;;;"883564176152473600";https://twitter.com/TV_TradingIdeas/status/883564176152473600
TV_TradingIdeas;2017-07-08 01:47;0;0;"Total S.A. $ TOT http://www. tradingview.com/chart/TOT/9Kxi DGqK-Total-S-A/ …";;;;"883563139567976448";https://twitter.com/TV_TradingIdeas/status/883563139567976448
DanallInc;2017-07-07 22:21;0;0;"Suncor Energy Inc.'s Most Brilliant Moves in 2017 So Far @themotleyfool #stocks $ TECK , $ TOT , $ SU https://www. fool.com/investing/2017 /07/05/suncor-energy-incs-most-brilliant-moves-in-2017-so.aspx …";;@themotleyfool;#stocks;"883511310381494272";https://twitter.com/DanallInc/status/883511310381494272
mangaliablog;2017-07-07 19:45;0;0;"I am bearish on $ TOT with a target price of $47.45 in 1 mo. on Vetr! http:// on.vetr.com/2tW9djJ";;;;"883471994003615744";https://twitter.com/mangaliablog/status/883471994003615744
TickerReport;2017-07-07 18:52;0;0;"TotalFinaElf, S.A. $ TOT Shares Bought by Bremer Trust National Association http:// ift.tt/2uA8Jh3";;;;"883458776728293376";https://twitter.com/TickerReport/status/883458776728293376
emq_news;2017-07-07 18:44;0;0;"TotalFinaElf, S.A. $ TOT Shares Bought by Bremer Trust National Association http:// ift.tt/2uA8Jh3";;;;"883456663063277570";https://twitter.com/emq_news/status/883456663063277570
TickerReport;2017-07-07 18:42;0;0;"TotalFinaElf, S.A. $ TOT Shares Bought by Bremer Trust National Association http:// ift.tt/2tRyk7w";;;;"883456159994322944";https://twitter.com/TickerReport/status/883456159994322944
TheMarketsDaily;2017-07-07 16:45;0;0;"TotalFinaElf, $ TOT Getting Somewhat Positive Media Coverage, Report Finds http:// zpr.io/PdQEp";;;;"883426817788563457";https://twitter.com/TheMarketsDaily/status/883426817788563457
TradersCom;2017-07-07 16:40;0;0;"Total ethylene production started at 338K bpd refining petrochemicals platform in Antwerp $ TOT via @gotsanctuary http:// traderscommunity.com/forum/index.ph p?topic=1589.0;msg=8581 …";;@gotsanctuary;;"883425514656026624";https://twitter.com/TradersCom/status/883425514656026624
PPecten;2017-07-07 15:56;0;0;"$ RDS is not inferior to $ TOT and $ CVX :)";;;;"883414506424213504";https://twitter.com/PPecten/status/883414506424213504
DKOptions;2017-07-07 15:47;0;0;"Nice candle in $ TOT today, one of the better oil charts out there if not the best";;;;"883412140115324929";https://twitter.com/DKOptions/status/883412140115324929
sitifatimahnet;2017-07-07 15:22;0;0;"Total starts ethylene production at Antwerp platform https:// seekingalpha.com/news/3277541-t otal-starts-ethylene-production-antwerp-platform?source=feed_f … $ TOT #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883405882717089798";https://twitter.com/sitifatimahnet/status/883405882717089798
SEEKINGALPHA_FS;2017-07-07 15:17;0;0;"Total starts ethylene production at Antwerp platform https:// seekingalpha.com/news/3277541-t otal-starts-ethylene-production-antwerp-platform?source=twitter_sa_factset … $ TOT";;;;"883404621342883840";https://twitter.com/SEEKINGALPHA_FS/status/883404621342883840
MarketCurrents;2017-07-07 15:17;0;0;"Total starts ethylene production at Antwerp platform https:// seekingalpha.com/news/3277541-t otal-starts-ethylene-production-antwerp-platform?source=feed_f … $ TOT";;;;"883404619476484097";https://twitter.com/MarketCurrents/status/883404619476484097
midetimes;2017-07-07 13:31;0;0;"Analyzing TotalFinaElf, $ TOT and InterOil $ IOC http:// ift.tt/2tRzCiK";;;;"883377992768139264";https://twitter.com/midetimes/status/883377992768139264
TraderFaint;2017-07-07 13:08;0;0;"http:// smq.tc/1rbc43s << [FREE TRIAL STOCK ALERTS] Want to take your income and lifestyle to the next level?. $ SILJ $ SNE $ TOT";;;;"883372100764934144";https://twitter.com/TraderFaint/status/883372100764934144
emq_news;2017-07-07 09:44;0;0;"TotalFinaElf, S.A. $ TOT Shares Sold by Clearbridge Investments LLC http:// ift.tt/2sUMkJb";;;;"883320803982487552";https://twitter.com/emq_news/status/883320803982487552
TickerReport;2017-07-07 09:37;0;0;"TotalFinaElf, S.A. $ TOT Shares Sold by Clearbridge Investments LLC http:// ift.tt/2sUMkJb";;;;"883319029901008898";https://twitter.com/TickerReport/status/883319029901008898
TickerReport;2017-07-07 09:32;0;0;"TotalFinaElf, S.A. $ TOT Shares Sold by Clearbridge Investments LLC http:// ift.tt/2uRUjI7";;;;"883317803071283201";https://twitter.com/TickerReport/status/883317803071283201
DayTradeMachine;2017-07-07 09:25;0;0;"Good Morning : The Machine is watching $ DGLY , $ GLBS , $ DRYS , $ TOPS , $ BOIL , $ RTK , $ BUD , $ VOO , $ SPLV , $ FXE , $ NVO , $ STO , $ TOT , $ U";;;;"883316154923499520";https://twitter.com/DayTradeMachine/status/883316154923499520
DayTradeMachine;2017-07-07 09:24;0;0;"Good Morning : The Machine is watching $ DGLY , $ GLBS , $ DRYS , $ TOPS , $ BOIL , $ RTK , $ BUD , $ SPLV , $ FXE , $ NVO , $ STO , $ TOT , $ UGLD , $";;;;"883315830145949697";https://twitter.com/DayTradeMachine/status/883315830145949697
TraderSupreme;2017-07-07 08:32;0;0;"http:// smq.tc/2frwTWo Awesome review of a successful trading alerts service! $ NECA $ TOT $ DVCR $ AGR";;;;"883302663118503936";https://twitter.com/TraderSupreme/status/883302663118503936
ITRADEVOL;2017-07-07 07:35;0;0;"Early morning Press Releases $ SINA $ YIN $ ANGO $ CYD $ AMZN $ NAT $ MRK $ SPWR $ TOT $ DCM $ CGG $ IRCP $ IRS $ ATVI $ HOPE $ CHRW https:// marketchameleon.com/PressReleases";;;;"883288371321331712";https://twitter.com/ITRADEVOL/status/883288371321331712
Briefingcom;2017-07-07 05:45;0;0;"$ TOT : Total S.A. reports start up production of ethylene at Antwerp platform http:// bit.ly/2sMRN9y";;;;"883260771643179009";https://twitter.com/Briefingcom/status/883260771643179009
NewsToDesk;2017-07-07 02:43;0;0;"$ TOT : Total: First Phase of the Antwerp Platform Upgrade Starts up with …: http://www. StockNewsWires.com/tot-total-firs t-phase-of-the-antwerp-platform-upgrade-starts-up-with/ …";;;;"883214803170279424";https://twitter.com/NewsToDesk/status/883214803170279424
Trading2Stock;2017-07-06 21:24;0;0;"http:// smq.tc/1L9EsXE MILLIONAIRE TRADER Super_Trades is making HUGE money in 2015!!!!! http:// smq.tc/1L9EsXE $ JCP $ DE $ TOT";;;;"883134537881927680";https://twitter.com/Trading2Stock/status/883134537881927680
trader_top;2017-07-06 17:04;0;0;"http:// smq.tc/1VvJJhE Want massive winning profitable trade alerts? Try a FREE TRIAL! $ ORBK $ TOT $ SABR";;;;"883069123067957248";https://twitter.com/trader_top/status/883069123067957248
sitifatimahnet;2017-07-06 16:02;0;0;"Total to delay Martin Linge production until 2019 https:// seekingalpha.com/news/3277339-t otal-delay-martin-linge-production-2019?source=feed_f … $ TOT $ STO #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883053627493023745";https://twitter.com/sitifatimahnet/status/883053627493023745
SEEKINGALPHA_FS;2017-07-06 15:58;0;0;"Total to delay Martin Linge production until 2019 https:// seekingalpha.com/news/3277339-t otal-delay-martin-linge-production-2019?source=twitter_sa_factset … $ TOT $ STO";;;;"883052579168567296";https://twitter.com/SEEKINGALPHA_FS/status/883052579168567296
MarketCurrents;2017-07-06 15:58;0;0;"Total to delay Martin Linge production until 2019 https:// seekingalpha.com/news/3277339-t otal-delay-martin-linge-production-2019?source=feed_f … $ TOT $ STO";;;;"883052577528586241";https://twitter.com/MarketCurrents/status/883052577528586241
TickerReport;2017-07-06 15:42;0;0;"Independent Portfolio Consultants Inc. Purchases 3,177 Shares of TotalFinaElf, S.A. $ TOT http:// ift.tt/2sKYRnp";;;;"883048496626114565";https://twitter.com/TickerReport/status/883048496626114565
emq_news;2017-07-06 15:39;0;0;"Independent Portfolio Consultants Inc. Purchases 3,177 Shares of TotalFinaElf, S.A. $ TOT http:// ift.tt/2uvrour";;;;"883047729131388934";https://twitter.com/emq_news/status/883047729131388934
TickerReport;2017-07-06 15:37;0;0;"Independent Portfolio Consultants Inc. Purchases 3,177 Shares of TotalFinaElf, S.A. $ TOT http:// ift.tt/2uvrour";;;;"883047206068133888";https://twitter.com/TickerReport/status/883047206068133888
1LuckyJimmy;2017-07-06 11:30;0;0;"TOT +0.09 total advance today 10:30 ET. Totalfinaelf S.A. $ TOT 49.02 Stock hit a High of 49.07 and 48.89 Low w https:// investorshangout.com/post/view?id=4 646261 …";;;;"882985132482867204";https://twitter.com/1LuckyJimmy/status/882985132482867204
ProVesting;2017-07-06 11:25;0;0;"$ TOT $ BA : Total’s $1 Billion Iran Deal Isn’t Likely to Herald More Investment as …: http://www. StockNewsWires.com/tot-ba-totals- 1-billion-iran-deal-isnt-likely-to-herald-more-investment-as/ …";;;;"882983746948878341";https://twitter.com/ProVesting/status/882983746948878341
whotrades;2017-07-06 10:15;0;0;"Suncor Energy Inc.'s Most Brilliant Moves in 2017 So Far http:// bit.ly/060717SU $ SU $ TOT $ TECK";;;;"882966294475268099";https://twitter.com/whotrades/status/882966294475268099
ProVesting;2017-07-06 10:15;0;0;"$ NOVKY $ TOT $ AAPL $ TSLA : Russia, Saudi Aramco to Deepen Ties in Arctic LNG Project: http://www. StockNewsWires.com/novky-tot-aapl -tsla-russia-saudi-aramco-to-deepen-ties-in-arctic-lng-project/ …";;;;"882966129500499968";https://twitter.com/ProVesting/status/882966129500499968
BrexxyTrader;2017-07-06 09:57;0;0;"http:// bit.ly/1VvJJhE < This is a FREE TRIAL to stock trading alerts from THE best trading mentor!!!! $ TOT $ PAYX $ CVX";;;;"882961651745513472";https://twitter.com/BrexxyTrader/status/882961651745513472
SADIFAnalytics;2017-07-06 09:34;0;0;"Rating Update for Total Energy Services Inc $ TOT https://www. sadifanalytics.com/reports/find/T OT-67715 …";;;;"882955957315284992";https://twitter.com/SADIFAnalytics/status/882955957315284992
DTradingAcademy;2017-07-06 09:09;0;1;"3 of the biggest Western energy corporations $ XOM $ RDS.A & $ TOT are lobbying Qatar to take part in a huge expansion of its gas production.";;;;"882949501438181376";https://twitter.com/DTradingAcademy/status/882949501438181376
jzmusec;2017-07-06 07:28;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=tweet … $ XOM $ RDS.A $ RDS.B $ TOT @mariabartiromo lol all abt $ Rex";;@mariabartiromo;;"882924322016329728";https://twitter.com/jzmusec/status/882924322016329728
Briefingcom;2017-07-06 06:00;0;0;"$ TOT : Total S.A. provides update on status of some of its projects in South Korea following May 1 accident http:// bit.ly/2sJbhvY";;;;"882902112526454784";https://twitter.com/Briefingcom/status/882902112526454784
StockflareUS;2017-07-06 05:44;0;0;"$ TOT : The forecast EPS for Total SA (ADR) has decreased to $4.0 from $4.22 in the last week. ( https:// stockflare.com/stock/TOT )";;;;"882897977454579712";https://twitter.com/StockflareUS/status/882897977454579712
StockflareUS;2017-07-06 05:44;0;0;"$ TOT : Total SA (ADR) has lost a star, now a 3 star stock. ( https:// stockflare.com/stock/TOT )";;;;"882897946752290816";https://twitter.com/StockflareUS/status/882897946752290816
goldenchris;2017-07-06 03:30;0;0;"Tragic Accident at South Korea’s Samsung Yard Delays the Martin Linge Project in Norway until Summer 2018 $ TOT http://www. businesswire.com/news/home/2017 0706005407/en/ …";;;;"882864306634711040";https://twitter.com/goldenchris/status/882864306634711040
ProTradersNews;2017-07-06 03:13;0;0;"$ TOT : Total: Tragic Accident at South Korea’s Samsung Yard Delays the …: http://www. StockNewsWires.com/tot-total-trag ic-accident-at-south-koreas-samsung-yard-delays-the/ …";;;;"882859940028612609";https://twitter.com/ProTradersNews/status/882859940028612609
TraderSupreme;2017-07-06 02:34;0;0;"http:// smq.tc/2frwTWo Awesome review of a successful trading alerts service! $ NECA $ TOT $ DVCR $ AGR";;;;"882850175462416388";https://twitter.com/TraderSupreme/status/882850175462416388
petrmisan;2017-07-06 01:26;0;0;"Qatar well positioned to come out on top in LNG price war, analysts say https:// seekingalpha.com/news/3276964-q atar-well-positioned-come-top-lng-price-war-analysts-say?source=tweet … $ TOT $ PTR $ LNG $ UNG";;;;"882833031760941059";https://twitter.com/petrmisan/status/882833031760941059
petrmisan;2017-07-06 01:25;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=tweet … $ XOM $ RDS.A $ RDS.B $ TOT";;;;"882832939628843009";https://twitter.com/petrmisan/status/882832939628843009
Trading2Stock;2017-07-06 00:24;0;0;"http:// smq.tc/1L9EsXE MILLIONAIRE TRADER Super_Trades is making HUGE money in 2015!!!!! http:// smq.tc/1L9EsXE $ JCP $ DE $ TOT";;;;"882817456913494016";https://twitter.com/Trading2Stock/status/882817456913494016
Bin_Tweeter;2017-07-05 21:42;0;0;"$ QAT $ XOM $ RDS.A $ RDS.B $ TOT $ XLE $ USO $ BNO $ UNG Energy giants court Qatar for gas expansion role despite crisis http:// mobile.reuters.com/article/idUSKB N19Q2HA …";;;;"882776721409232896";https://twitter.com/Bin_Tweeter/status/882776721409232896
trader_top;2017-07-05 21:04;0;0;"http:// smq.tc/1VvJJhE Want massive winning profitable trade alerts? Try a FREE TRIAL! $ ORBK $ TOT $ SABR";;;;"882767129077989378";https://twitter.com/trader_top/status/882767129077989378
KirkSpano;2017-07-05 16:15;1;0;"Deep Water Drillers Are Doomed Even If Oil Prices Surge https:// seekingalpha.com/article/408454 0-deep-water-drillers-doomed-even-oil-prices-surge?source=tweet … $ BAC $ BP $ CVX $ E $ ESV $ HAL $ NE $ DO $ SDRL $ TOT $ XOM $ XLE";;;;"882694349380874247";https://twitter.com/KirkSpano/status/882694349380874247
SeismicAssoc;2017-07-05 16:02;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=tweet … $ XOM $ RDS.A $ RDS.B $ TOT";;;;"882691154667593732";https://twitter.com/SeismicAssoc/status/882691154667593732
TweetsMillenia;2017-07-05 15:25;3;1;"#Russia keep pumping. Getting clear #OPEC will not subsidize US #shale - Crude #oil to target low $30s $ USO $ CNNOC $ XOM $ TOT $ APA $ CVX $ SPY pic.twitter.com/DnL1KtlzJm";;;#Russia #OPEC #shale #oil;"882681749725224962";https://twitter.com/TweetsMillenia/status/882681749725224962
bdelgadob;2017-07-05 14:31;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar $ XOM $ RDS.A $ RDS.B $ TOT http://www. seekingalpha.com/news/3277070";;;;"882668157537837057";https://twitter.com/bdelgadob/status/882668157537837057
sitifatimahnet;2017-07-05 14:26;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=feed_f … $ XOM $ RDS.A $ RDS.B $ TOT #sitifatimah #malaysia #financialpla …";;;#sitifatimah #malaysia #financialpla;"882666996726472704";https://twitter.com/sitifatimahnet/status/882666996726472704
NewsToDesk;2017-07-05 14:24;0;0;"$ XOM $ TOT : Reuters: Exxon, Shell and Total might expand in Qatar: http://www. StockNewsWires.com/xom-tot-reuter s-exxon-shell-and-total-might-expand-in-qatar/ …";;;;"882666392171888640";https://twitter.com/NewsToDesk/status/882666392171888640
SEEKINGALPHA_FS;2017-07-05 14:21;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=twitter_sa_factset … $ XOM $ RDS.A $ RDS.B $ TOT";;;;"882665876964622336";https://twitter.com/SEEKINGALPHA_FS/status/882665876964622336
MarketCurrents;2017-07-05 14:21;0;0;"Reuters: Exxon, Shell and Total might expand in Qatar https:// seekingalpha.com/news/3277070-r euters-exxon-shell-total-might-expand-qatar?source=feed_f … $ XOM $ RDS.A $ RDS.B $ TOT";;;;"882665875064487936";https://twitter.com/MarketCurrents/status/882665875064487936
NewsToDesk;2017-07-05 14:15;0;0;"$ XOM $ RDS.A $ RDS.B $ TOT $ F : Energy Titans Lobbying Qatar for Role in Gas Production Expansion: http://www. StockNewsWires.com/xom-rds-a-rds- b-tot-f-energy-titans-lobbying-qatar-for-role-in-gas-production-expansion/ …";;;;"882664135594450944";https://twitter.com/NewsToDesk/status/882664135594450944
SPNewsAnalysis;2017-07-05 12:49;0;0;"InterOil $ IOC and TotalFinaElf, $ TOT Financial Comparison http:// ift.tt/2tJ0Lo1";;;;"882642596279050240";https://twitter.com/SPNewsAnalysis/status/882642596279050240
storminvestor;2017-07-05 12:47;0;0;"InterOil $ IOC and TotalFinaElf, $ TOT Financial Comparison http:// ift.tt/2tRlA1b";;;;"882642180719988736";https://twitter.com/storminvestor/status/882642180719988736
QuantchaIdeas;2017-07-05 12:19;0;0;"Price Target Alert: Trading the Zacks price target change for TOTAL SA $ TOT http:// ideas.quantcha.com/2017/07/05/pri ce-target-alert-trading-the-zacks-price-target-change-for-total-sa-tot-2/ … pic.twitter.com/LgzEHGV2ks";;;;"882635012482510848";https://twitter.com/QuantchaIdeas/status/882635012482510848
WatchlistN;2017-07-05 11:01;0;0;"InterOil $ IOC and TotalFinaElf, $ TOT Financial Comparison http:// ift.tt/2tQRx9O";;;;"882615367272718336";https://twitter.com/WatchlistN/status/882615367272718336
KirkSpano;2017-07-05 10:18;1;0;"Deep Water Drillers Are Doomed Even If Oil Prices Surge https:// seekingalpha.com/article/408454 0-deep-water-drillers-doomed-even-oil-prices-surge?source=tweet … $ BAC $ BP $ CVX $ DO $ E $ ESV $ HAL $ NE $ XLE SDRL $ TOT $ XOM";;;;"882604571000012803";https://twitter.com/KirkSpano/status/882604571000012803
KirkSpano;2017-07-05 10:15;1;0;"Deep Water Drillers Are Doomed Even If Oil Prices Surge https:// seekingalpha.com/article/408454 0-deep-water-drillers-doomed-even-oil-prices-surge?source=tweet … $ BAC $ BP $ CVX $ DO $ E $ ESV $ HAL $ NE $ RDS.A $ SDRL $ TOT $ XOM";;;;"882603751424614401";https://twitter.com/KirkSpano/status/882603751424614401
BullBearCharts;2017-07-05 09:23;0;1;"Gap Down $ SPEX $ DBD $ ORLY $ AAP $ GOGL $ NCR $ AMZA $ USLV $ GUSH $ SU $ AGQ $ UGAZ $ BOIL $ FMSA $ TVIX $ WFT $ WLL $ FTI $ TOT $ CHK $ PLUG $ NVS $ ERX $ DNR pic.twitter.com/rZ6dacpGYH";;;;"882590873707479041";https://twitter.com/BullBearCharts/status/882590873707479041
StockTradePicks;2017-07-05 09:12;0;1;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ WMT $ PBR $ TOT $ UAL $ GNW $ TCEHY $ MPEL $ IMUC $ MDGL $ ANV";;;;"882587973543313408";https://twitter.com/StockTradePicks/status/882587973543313408
dakotafinancial;2017-07-05 08:47;0;0;"Alliancebernstein L.P. Sells 7,603 Shares of TotalFinaElf, S.A. $ TOT http:// ift.tt/2tLyPiY";;;;"882581797028212736";https://twitter.com/dakotafinancial/status/882581797028212736
sitifatimahnet;2017-07-05 08:32;0;0;"Qatar well positioned to come out on top in LNG price war, analysts say https:// seekingalpha.com/news/3276964-q atar-well-positioned-come-top-lng-price-war-analysts-say?source=feed_f … #premarket $ TOT $ PTR $ LNG $ UNG #sitifatima …";;;#premarket #sitifatima;"882577854546022400";https://twitter.com/sitifatimahnet/status/882577854546022400
SEEKINGALPHA_FS;2017-07-05 08:26;0;0;"Qatar well positioned to come out on top in LNG price war, analysts say https:// seekingalpha.com/news/3276964-q atar-well-positioned-come-top-lng-price-war-analysts-say?source=twitter_sa_factset … #premarket $ TOT $ PTR $ LNG $ UNG";;;#premarket;"882576483729850368";https://twitter.com/SEEKINGALPHA_FS/status/882576483729850368
MarketCurrents;2017-07-05 08:26;0;0;"Qatar well positioned to come out on top in LNG price war, analysts say https:// seekingalpha.com/news/3276964-q atar-well-positioned-come-top-lng-price-war-analysts-say?source=feed_f … #premarket $ TOT $ PTR $ LNG $ UNG";;;#premarket;"882576482089943040";https://twitter.com/MarketCurrents/status/882576482089943040
midetimes;2017-07-05 06:36;0;0;"Alliancebernstein L.P. Sells 7,603 Shares of TotalFinaElf, S.A. $ TOT http:// ift.tt/2sFHpQW";;;;"882548663641403392";https://twitter.com/midetimes/status/882548663641403392
CowenResearch;2017-07-05 06:29;2;0;"Are integrated #oil stock dividends safe? Sam Margolin publishes results of his "stress test" today $ CVX $ XOM $ TOT $ RDS $ BP";;;#oil;"882547055008387072";https://twitter.com/CowenResearch/status/882547055008387072
KirkSpano;2017-07-04 21:31;1;0;"Deep Water Drillers Are Doomed Even If Oil Prices Surge https:// seekingalpha.com/article/408454 0-deep-water-drillers-doomed-even-oil-prices-surge?source=tweet … $ BAC $ BP $ CVX $ DO $ E $ ESV $ HAL $ NE $ RDS.A $ SDRL $ TOT $ XOM";;;;"882411695838306304";https://twitter.com/KirkSpano/status/882411695838306304
TraderFaint;2017-07-04 15:44;0;0;"http:// smq.tc/1rbc43s << [FREE TRIAL STOCK ALERTS] Want to take your income and lifestyle to the next level?. $ SILJ $ SNE $ TOT";;;;"882324178568749056";https://twitter.com/TraderFaint/status/882324178568749056
dailypoliticaln;2017-07-04 13:39;0;0;"TotalFinaElf, $ TOT & VOC Energy Trust $ VOC Financial Contrast http:// ift.tt/2tFW9yV";;;;"882292816117891073";https://twitter.com/dailypoliticaln/status/882292816117891073
SPNewsAnalysis;2017-07-04 13:39;0;0;"TotalFinaElf, $ TOT & VOC Energy Trust $ VOC Financial Contrast http:// ift.tt/2tmkV4H";;;;"882292758685376520";https://twitter.com/SPNewsAnalysis/status/882292758685376520
SwingTradeBot;2017-07-04 12:52;0;0;"Recent $ TOT technical alerts: MACD Bullish Signal Line Cross plus 3 more alerts... https:// swingtradebot.com/equities/TOT";;;;"882280940608921602";https://twitter.com/SwingTradeBot/status/882280940608921602
